date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
6.5.2020 19.05	JoeBiden		7266	15154	75675	The stakes in this election have never been higher. Over the last few months, we've seen how wholly unfit Donald Trump is to lead our nation. We have to vote him out of the White House this November.				1,26E+18	https://twitter.com/JoeBiden/status/1258110532953006080	
6.5.2020 18.05	JoeBiden		2200	6832	24049	We can’t sit by as Donald Trump and Republicans use COVID-19 as an excuse to disenfranchise voters. We need to ensure people have the opportunity to vote by mail, early vote, vote absentee and, in every way possible, safely vote in person this November.				1,26E+18	https://twitter.com/JoeBiden/status/1258095433886375940	
6.5.2020 16.00	JoeBiden		1391	6333	19351	Today, amid the COVID-19 pandemic, the Trump-backed lawsuit to dismantle the ACA enters a new phase. If Trump and Republican AGs succeed, it’ll mean devastation for our health care system that will cause untold pain and suffering. We can't let that happen.				1,26E+18	https://twitter.com/JoeBiden/status/1258063979412250628	
6.5.2020 14.00	JoeBiden		694	4120	13645	These stories are heartbreaking and remind us that the numbers we see in the news are more than just statistics. Every death is a tragedy and marks a family and community that will never be the same. @DrBiden and I are keeping them all in our prayers.		@DrBiden		1,26E+18	https://twitter.com/JoeBiden/status/1258033779513253888	
6.5.2020 3.36	JoeBiden	CNN	2660	22653	90306	The video is clear: Ahmaud Arbery was killed in cold blood. My heart goes out to his family, who deserve justice and deserve it now. It is time for a swift, full, and transparent investigation into his murder.				1,26E+18	https://twitter.com/JoeBiden/status/1257876833581912065	
6.5.2020 1.15	JoeBiden		1562	6782	21472	This didn't have to happen. The Trump Administration failed to take action and produce desperately needed protective equipment — and those on the front lines of this crisis paid the price. It's heartbreaking.				1,26E+18	https://twitter.com/JoeBiden/status/1257841258354970624	
6.5.2020 0.20	JoeBiden	axios	5612	13923	71962	The Biden Administration will not silence scientists.				1,26E+18	https://twitter.com/JoeBiden/status/1257827550216302593	
5.5.2020 23.45	JoeBiden	politico	1039	6100	21697	The choice between the economy and public health is a false one—if we don’t beat the virus, we'll never get back to full economic strength and will lose countless lives. We have to get the number of new cases down and scale up testing before we return to some sense of normalcy.				1,26E+18	https://twitter.com/JoeBiden/status/1257818848591351809	
5.5.2020 22.14	JoeBiden		2418	9055	38234	It’s important to stay connected while we’re social distancing — but there’s always that one friend who doesn’t get the hint when it’s time to end the video chat. Glad we don’t know anyone like that — right, @KeeganMKey?		@KeeganMKey		1,26E+18	https://twitter.com/JoeBiden/status/1257795708339421186	
5.5.2020 18.00	JoeBiden		1963	2955	11265	It's been a big few weeks. President Obama, Secretary Clinton, Senator Sanders, Senator Warren, and Speaker Pelosi all endorsed our campaign. Now, we need your help to keep the momentum going. I know times are tough, but if you can, please chip in today:				1,26E+18	https://twitter.com/JoeBiden/status/1257731791302979584	
5.5.2020 15.45	JoeBiden		1757	3208	12915	Each week, I get hundreds of letters from people across the country. Folks share their hopes, ideas, struggles, and concerns — and I try to respond to as many as I can. We're going to share a few of them with you in our new series: Sincerely, Joe.				1,26E+18	https://twitter.com/JoeBiden/status/1257697813208674305	
5.5.2020 14.25	JoeBiden		3159	15099	75817	Thank you to all the: Firefighters Paramedics Police officers Doctors Nurses Medical support staff Grocery and retail workers Meatpackers Delivery drivers Transit workers And everyone else on the front lines of this fight. You truly are the heart and soul of this country.				1,26E+18	https://twitter.com/JoeBiden/status/1257677680662765568	
5.5.2020 0.59	JoeBiden		5875	17069	104429	Let me be clear: Essential workers on the front lines of this crisis deserve premium pay, emergency paid sick leave, and protections that keep them safe.				1,26E+18	https://twitter.com/JoeBiden/status/1257474844008108034	
4.5.2020 23.49	JoeBiden	CNN	930	3415	15827	Across the country, folks are stepping up, taking care of their neighbors, and lending a hand to those in need. It's who we are. In times of crisis, we stand as one. And it makes me so proud to be an American.				1,26E+18	https://twitter.com/JoeBiden/status/1257457336551079939	
4.5.2020 21.40	JoeBiden		3153	7329	29392	Today, I’m releasing a new plan to achieve equity for the African American community and take us one step closer to making America what it ought to be. Read more:				1,26E+18	https://twitter.com/JoeBiden/status/1257424764097802240	
4.5.2020 20.14	JoeBiden		7117	22293	78196	Over 1 million cases of COVID-19. Almost 70,000 dead. What is upsetting President Trump? Tough questions from the press. Cry me a river, Mr. President.				1,26E+18	https://twitter.com/JoeBiden/status/1257403121363415040	
4.5.2020 17.45	JoeBiden		11686	11774	69696	Make no mistake: We can emerge from this crisis a stronger, better, and fairer nation. It’s within our power — we just need a president and an administration who are up for the task.				1,26E+18	https://twitter.com/JoeBiden/status/1257365750479818753	
4.5.2020 14.15	JoeBiden		2820	8034	44605	I've always believed that we've been at our best when we've acted as one America. This crisis is an opportunity for us to be that nation again. There's not a single thing we cannot accomplish if we do it together.				1,26E+18	https://twitter.com/JoeBiden/status/1257312776780996608	
4.5.2020 0.00	JoeBiden		4354	11867	38582	In times of crisis, the American people deserve a president who tells them the truth and takes responsibility. Donald Trump has not been that president.				1,26E+18	https://twitter.com/JoeBiden/status/1257097610135056390	
3.5.2020 22.40	JoeBiden		2806	11526	37683	The hard truth is that it didn’t have to be this bad. The lack of preparation, the slow response on testing, the failure to administer the relief in the CARES Act appropriately — all of it stems from Donald Trump’s failures as president.				1,26E+18	https://twitter.com/JoeBiden/status/1257077475605176326	
3.5.2020 22.00	JoeBiden		839	1979	6385	This Sunday night, settle in and join labor leader Dolores Huerta, actor John Leguizamo, Secretary Hilda Solis, and Congresswoman Escobar for a #TodosConBiden discussion. Tune in now:			#TodosConBiden	1,26E+18	https://twitter.com/JoeBiden/status/1257067640482226177	
3.5.2020 21.20	JoeBiden		2948	8843	60531	The American people are strong, tough, brave, and big-hearted. We can and will overcome this — together.				1,26E+18	https://twitter.com/JoeBiden/status/1257057343038033922	
3.5.2020 20.05	JoeBiden		3086	12058	48109	Donald Trump seems to think he can direct funding based on which politicians are nice to him, which states he’s trying to win in November, and which businesses he wants to enrich — all without any accountability. @EWarren and I think that’s unacceptable.		@ewarren		1,26E+18	https://twitter.com/JoeBiden/status/1257038468699566089	
3.5.2020 18.58	JoeBiden		739	3399	15280	This #WorldPressFreedomDay, support for an independent press at home and around the world matters more than ever. We must vote Trump out this November and assure that attacks on our free press are never again acceptable — especially not in the White House.			#WorldPressFreedomDay	1,26E+18	https://twitter.com/JoeBiden/status/1257021763390767110	
3.5.2020 18.58	JoeBiden		634	4033	21378	Trump deflects legitimate questions with attacks. He bullies members of the press, instead of taking responsibility for his failures. His efforts to undermine public confidence in the integrity of reporting violate our core values and threaten our very system of government.				1,26E+18	https://twitter.com/JoeBiden/status/1257021762602184705	
3.5.2020 18.58	JoeBiden		6609	15195	70793	A free press is essential to a free society. That's why attacking the press and attempting to intimidate independent media is a standard part of the authoritarian playbook around the world. And it’s why Donald Trump’s efforts to demonize the media put us on such a dangerous path.				1,26E+18	https://twitter.com/JoeBiden/status/1257021761872449542	
3.5.2020 16.48	JoeBiden		3427	14185	59278	The U.S. Postal Service is an essential pillar of American life. We simply cannot let Donald Trump destroy it.				1,26E+18	https://twitter.com/JoeBiden/status/1256988891942252552	
3.5.2020 15.00	JoeBiden		2537	6122	20542	Over the last few weeks, I worked with our supporters and staff to create a code for our campaign—the principles we’ll live by, reflecting the community we’ve built, the team we aspire to be, and some of my own ‘rules’ as well. I’m excited to share it: https://joe.link/2W04YRD				1,26E+18	https://twitter.com/JoeBiden/status/1256961717432733696	
2.5.2020 23.30	JoeBiden		3616	11496	65981	This pandemic is bigger than any one individual or country. This moment requires all of us to come together — across the nation and around the world — to solve this crisis.				1,26E+18	https://twitter.com/JoeBiden/status/1256727670554914818	
2.5.2020 21.33	JoeBiden	samstein	5389	21163	64128	When I say Donald Trump is the most corrupt president in modern American history, this is what I'm talking about. Monty Bennett should return the tens of millions of dollars he received, and we should give it to the small businesses that need it.				1,26E+18	https://twitter.com/JoeBiden/status/1256698438831476737	
