"@JoeBiden @DrBiden Whats going on here Joe?
https://t.co/ETBdUX38b3"
@JoeBiden @DrBiden Real men have sweet (never demeaning) pet names for their wives. “Jilly”. Omg. 😍🥰
@JoeBiden @DrBiden Meanwhile at the white house....... https://t.co/U0LPOKJ0pS
@JoeBiden @DrBiden https://t.co/hrYQI7mPpN
@JoeBiden @DrBiden https://t.co/681Fk5iVmQ
@JoeBiden @DrBiden Love you guys.
@JoeBiden @DrBiden Trumps COVID hospital stay is a fake stunt. Don’t fall for this. Keep your plan and eye on votin… https://t.co/BTHxaIkEsK
"@JoeBiden @DrBiden So wonderful to see two people who bring class, compassion, humility and family values to light… https://t.co/d5JpG7Lt6C"
"@JoeBiden @DrBiden Passionately?  (Passionately how, Mr. Biden?)"
@JoeBiden @DrBiden So looking forward to Dr Biden advising the Education Secretary on Public Eduation. Our teachers… https://t.co/IR9s4Xf1yk
"@JoeBiden @DrBiden #TeachersDay 
#Jilly  Future First Lady!
#vote
#vote
#VoteBlueToSaveAmerica"
@JoeBiden @DrBiden No masks on in a school!!!! Omg!!!
@JoeBiden @DrBiden Cheers https://t.co/86QngHJdbm
"@JoeBiden @DrBiden Joe Biden's own words:
""I don't want my kids growing up in a Racial Jungle."""
@JoeBiden @DrBiden Remember do this @DrBiden https://t.co/k5FqDQvHEj
@JoeBiden @DrBiden hmm
@JoeBiden @DrBiden “The reason I was able to stay home during the pandemic is because Black women were able to keep… https://t.co/cagLi49ILp
@JoeBiden @DrBiden https://t.co/2v2z80Em0t
@JoeBiden @DrBiden Literally not a genuine bone in the body of this campaign. They were not even able to make a hug… https://t.co/lfdo3ST7Xc
@JoeBiden @DrBiden Where is Hunter Biden?
@JoeBiden @DrBiden Joe Biden incompetently &amp; negligently disparaged the Covid treatments developed in record time b… https://t.co/zaPMHzmodS
@JoeBiden @DrBiden Cant wait for trump to win
"@JoeBiden @DrBiden A teacher as first lady of US - that would be refreshing for the world. Soon, less than a month!"
@JoeBiden @DrBiden Teachers are the BEST! https://t.co/4lje6Hmmy4
@JoeBiden @DrBiden Jilly? 🤢🤢🤢🤢🤮🤮🤮🤮🤮
"@JoeBiden @DrBiden Wait, yesterday you said she was a doctor?"
@JoeBiden @DrBiden Joe Biden did not tweet this. He probably doesn’t even know about this day unless someone tells him.
@JoeBiden @DrBiden Don't forget I am your tyrant present things. https://t.co/PW2ZvG9luw
"@JoeBiden @DrBiden Just read Pope Francis’ October 3, 2020 Encyclical...

I’m sure you are aware of it but I think… https://t.co/hhxJUPETI4"
@JoeBiden @DrBiden The stupidest of all stupidest elections.
@JoeBiden @DrBiden Joe Biden just admitted he would make abortion the law of the land and you want this SINFUL UNGO… https://t.co/jSq9DhoNbI
@JoeBiden @DrBiden You forgot she was yoyr wife that day.
